time,X,Y,Vx,Vy,r,yaw,steering_deg,throttle,brake,ax,ay
0,0,0,25.8024598968408,0,0,0,0,0,0.199999999999994,-10.4497563291521,-0.00228629625716814
0.01,0,0,25.8024598968408,0,0,0,-3.05600699704727e-05,0,0.199999999999998,-0.389214010049019,1.05527749571012e-05
0.02,0.257825401842676,-1.06750650251159e-08,25.776262195004,1.16936879537074e-06,-1.11532664318198e-06,-9.59459220960532e-08,0.000147823214653473,0,0.199999999999987,-0.264284450536084,9.62593925878481e-06
0.03,0.51557605056577,-2.39568583240335e-08,25.7740002557612,7.86215028254962e-07,2.17309373847452e-06,-8.2274149213996e-08,-8.36593617925142e-05,0,0.199999999999997,-0.248603659923086,3.47837890104977e-05
0.04,0.77330585543946,-3.71968830537458e-08,25.7719609005763,2.57754671452126e-07,2.12289226733034e-06,-6.06098730782388e-08,-0.000251572958925971,0,0.199999999999983,-0.232843958436729,4.60493322761974e-05
0.05,1.03101522826398,-4.98207861750465e-08,25.7699107870642,-1.90378262966025e-07,2.06730572373567e-06,-3.97012677297483e-08,-0.000383419636805436,0,0.2,-0.221914271803324,2.83740805153212e-05
0.06,1.28870401224183,-6.15087418980501e-08,25.7678432969262,-6.37197317685498e-07,1.99679708468816e-06,-1.93126310160867e-08,-0.000487688774619482,0,0.200000000000001,-0.216798450495308,9.61527673797293e-07
0.07,1.54637204985896,-7.28350737270081e-08,25.7657625632291,-1.14430692618977e-06,1.8117594143223e-06,-1.57424539943168e-10,-0.000555721782182645,0,0.2,-0.214550109975173,-1.97765348310912e-05
0.08,1.80401924043493,-8.48085859553216e-08,25.7636748171603,-1.68527021421401e-06,1.50482048405528e-06,1.65103657671602e-08,-0.000578781184115585,0,0.200000000000013,-0.211576837240659,-2.95770084209086e-05
0.09,2.06164553554803,-9.82431666902668e-08,25.7615837656073,-2.19849617685676e-06,1.11998433485441e-06,2.96781508588615e-08,-0.000554525019527392,0,0.199999999999991,-0.206069762333209,-2.96551787271205e-05
0.1,2.31925090558697,-1.13570787032338e-07,25.7594895916566,-2.63287931156606e-06,7.07636641271179e-07,3.8819945981002e-08,-0.000485502988369862,0,0.199999999999993,-0.198568533555312,-2.27767114164648e-05
0.11,2.57683531060264,-1.30883601331593e-07,25.7573904173548,-2.95738727358389e-06,3.0953237527699e-07,4.3879455379529e-08,-0.000376440955894479,0,0.200000000000006,-0.190873160172896,-1.12941110257527e-05
0.12,2.83439869133095,-1.50019747637141e-07,25.7552845434637,-3.1578287277189e-06,-4.22179527364524e-08,4.5166969767711e-08,-0.000232478617789782,0,0.199999999999994,-0.184643517963701,2.83982784262502e-06
0.13,3.09194097826381,-1.70618017856411e-07,25.753171752123,-3.23198161253195e-06,-3.21812192088467e-07,4.32794858266777e-08,-5.86998242494489e-05,0,0.200000000000003,-0.180524712409447,1.7927264107475e-05
0.14,3.34946210740684,-1.9216275562088e-07,25.7510532834866,-3.1861686113229e-06,-5.1043433686399e-07,3.90344702280338e-08,0.000140302162926012,0,0.200000000000002,-0.178144875190524,3.33782794939054e-05
0.15,3.60696203138082,-2.14009253187038e-07,25.7489310258626,-3.03722777166639e-06,-5.96158318505324e-07,3.34110180579912e-08,0.000360956136307746,0,0.200000000000011,-0.176665654905469,4.843962420079e-05
0.16,3.86444072079419,-2.35439590540507e-07,25.7468065875911,-2.80439667717141e-06,-5.70449946503848e-07,2.74831297252904e-08,0.000600170794310298,0,0.199999999999986,-0.175373006563217,6.20106353519394e-05
0.17,4.12189815886513,-2.55656823524642e-07,25.7446808660349,-2.51054902797189e-06,-4.29200716165024e-07,2.24028674229896e-08,0.000855554296721028,0,0.199999999999996,-0.173999075180547,7.61081431829062e-05
0.18,4.37933433463352,-2.73830971622929e-07,25.7425541353455,-2.18325957190408e-06,-1.73720990042635e-07,1.92974565775531e-08,0.00112563389421924,0,0.200000000000003,-0.172666515034566,8.94096031356542e-05
0.19,4.63674923821625,-2.89067703968065e-07,25.7404264349349,-1.84297101661324e-06,1.97186132422026e-07,1.93256707972117e-08,0.00140879789310268,0,0.2,-0.171676289984281,0.000102219777286863
0.2,4.8941428604556,-3.00402935599075e-07,25.7382979076106,-1.51321773849539e-06,6.79748756968237e-07,2.36234416594549e-08,0.00170356266687072,0,0.200000000000005,-0.171273275305675,0.000114365238566779
0.21,5.1515151948914,-3.06803890170206e-07,25.7361689586865,-1.21456880195121e-06,1.26967698415491e-06,3.32952833367266e-08,0.00200811743627088,0,0.199999999999997,-0.171527338130725,0.000127147639812625
0.22,5.40886624026573,-3.07168915559751e-07,25.7340401924357,-9.67308457590071e-07,1.96261207825448e-06,4.93848606397165e-08,0.00232036878251513,0,0.199999999999999,-0.172351061595586,0.000140829221934958
0.23,5.66619600165534,-3.00310020352307e-07,25.7319122603596,-7.87171838261758e-07,2.75562972021281e-06,7.28998574570285e-08,0.00263739251692142,0,0.199999999999989,-0.173582341682926,0.000154245253530154
0.24,5.92350449030708,-2.84929809923422e-07,25.7297857228484,-6.87813592510074e-07,3.64402920923902e-06,1.0482566565111e-07,0.00295536886465649,0,0.199999999999989,-0.175075074795557,0.000167968845304643
0.25,6.18079172230811,-2.5963540997931e-07,25.7276609819019,-6.85379394769871e-07,4.62065247306329e-06,1.46081482442145e-07,0.00326996580445469,0,0.200000000000009,-0.176746039519952,0.000181775870018186
0.26,6.43805771705015,-2.22951379802877e-07,25.7255383015845,-7.925773907206e-07,5.6782538630741e-06,1.97516677035834e-07,0.00357615372844659,0,0.199999999999993,-0.17857176192708,0.000195939321486005
0.27,6.69530249607963,-1.7332099079643e-07,25.7234178688465,-1.02200363642027e-06,6.80847826087444e-06,2.59896461170111e-07,0.00386824744171577,0,0.199999999999996,-0.180557342579757,0.000209724596060949
0.28,6.95252608270485,-1.0911477145353e-07,25.7212998488356,-1.38368276753285e-06,8.00101442392528e-06,3.33898468581309e-07,0.00413988738986272,0,0.200000000000014,-0.182704191490001,0.000222799190118603
0.29,7.2097285018978,-2.86468442643305e-08,25.7191844085365,-1.88805321039477e-06,9.242769710326e-06,4.20083326258707e-07,0.00438414582785269,0,0.20000000000001,-0.184993108596634,0.00023488527473818
0.3,7.46690978027288,6.97952318975358e-08,25.7170717100402,-2.5442288990714e-06,1.05184045461117e-05,5.18868110455462e-07,0.00459348149681559,0,0.2,-0.187385193046511,0.00024557809218032
0.31,7.72406994595398,1.87927714547702e-07,25.7149618896931,-3.35952304038608e-06,1.18103169195426e-05,6.30505575964621e-07,0.00475969281801494,0,0.200000000000001,-0.189832893413234,0.000254347066729494
0.32,7.98120902825,3.27444531053159e-07,25.7128550398881,-4.33938572579269e-06,1.30981743399305e-05,7.55060184095608e-07,0.00487366982556311,0,0.199999999999982,-0.192291932007603,0.000260911429960882
0.33,8.2383270570685,4.89979026270287e-07,25.7107512024972,-5.48754221681219e-06,1.43594639007002e-05,8.92379174680202e-07,0.00492504121730053,0,0.2,-0.194727489577639,0.000264566861228191
0.34,8.49542406256449,6.77074918969619e-07,25.7086503740573,-6.80469979189856e-06,1.55685395860974e-05,1.04207175294604e-06,0.00490160087619581,0,0.199999999999992,-0.197114526223993,0.000264746480504596
0.35,8.75250007466144,8.90142570919128e-07,25.7065525160976,-8.28952934025491e-06,1.66970329310036e-05,1.20347689239816e-06,0.00478848381537713,0,0.200000000000024,-0.199434311294095,0.000260695032981415
0.36,9.00955512263442,1.13040439505046e-06,25.7044575652221,-9.93742236089555e-06,1.77141030645501e-05,1.37563694337205e-06,0.00456675142514008,0,0.199999999999994,-0.201670186029899,0.00025174153836891
0.37,9.26658923553799,1.39887467112142e-06,25.7023654376835,-1.17431932425691e-05,1.85825361288039e-05,1.55724834655913e-06,0.00421166317089033,0,0.199999999999996,-0.203806078123913,0.000236304889186112
0.38,9.52360244081381,1.69622619895634e-06,25.7002760339802,-1.36960439201735e-05,1.92641864467121e-05,1.74664768932814e-06,0.00368892737004446,0,0.199999999999988,-0.205825816049608,0.000212831141999206
0.39,9.78059476517629,2.02277217028269e-06,25.6981892365706,-1.57861567474363e-05,1.97118332417391e-05,1.94173478321286e-06,0.00294984766290683,0,0.200000000000021,-0.207714507829344,0.000178860275100938
0.4,10.0375662340372,2.37832624441942e-06,25.6961049112129,-1.80022074646541e-05,1.98697307348255e-05,2.1398984040047e-06,0.00192259690447647,0,0.200000000000004,-0.209459823522182,0.000130124920369645
0.41,10.2945168712705,2.76207354690863e-06,25.6940229094666,-2.03338545335698e-05,1.96679777831989e-05,2.33793376198096e-06,0.000828712064145234,0,0.200000000000007,-0.211052486840501,6.32379501976746e-05
0.42,10.5514466994848,3.17233007495654e-06,25.6919430687199,-2.27756510024822e-05,1.90163220163361e-05,2.53177060201126e-06,-8.75056564005047e-05,0,0.2,-0.212486464607332,-1.77809223811817e-05
0.43,10.8083557393611,3.60635218999152e-06,25.689865219678,-2.53125189112578e-05,1.78034774501708e-05,2.71637834423049e-06,-0.000856204674678053,0,0.199999999999982,-0.213758314024109,-8.74366874162845e-05
0.44,11.0652440099663,4.06037010383329e-06,25.6877891869415,-2.78628455123109e-05,1.59775144702879e-05,2.88577617422746e-06,-0.00147807247821795,0,0.200000000000022,-0.214866678614042,-0.000123617264817829
0.45,11.3221115286368,4.53044877608402e-06,25.6857147920548,-3.02348119605508e-05,1.36405735763634e-05,3.03419987981221e-06,-0.00195351027374207,0,0.199999999999992,-0.215811898190284,-0.00012647571948989
0.46,11.5789583108002,5.01354084586075e-06,25.6836418575419,-3.22088347386705e-05,1.09803597767751e-05,3.15748499685726e-06,-0.00229822902411735,0,0.200000000000022,-0.216595838413321,-0.000104805910176055
